Country ID,Users
AD,4
AE,355
AF,1
AG,1
AL,39
AM,136
AO,10
AR,580
AT,321
AU,1653
AZ,50
BA,66
BB,7
BD,219
BE,417
BF,4
BG,242
BH,26
BI,1
BJ,10
BM,1
BN,1
BO,46
BR,2604
BS,1
BT,5
BW,3
BY,225
BZ,4
CA,1960
CD,18
CG,6
CH,433
CI,17
CL,319
CM,20
CN,484
CO,640
CR,115
CU,21
CV,2
CY,79
CZ,314
DE,2547
DJ,1
DK,315
DO,55
DZ,56
EC,109
EE,85
EG,256
EH,1
ES,1467
ET,46
FI,411
FJ,3
FM,1
FR,1826
GB,3953
GE,118
GG,2
GH,50
GI,1
GN,4
GR,199
GT,43
GY,1
HK,508
HN,17
HR,148
HT,2
HU,272
ID,770
IE,508
IL,800
IM,4
IN,19241
IQ,32
IR,306
IS,31
IT,1091
JE,7
JM,9
JO,54
JP,877
KE,112
KG,35
KH,45
KR,832
KW,23
KY,5
KZ,93
LA,8
LB,63
LC,3
LI,2
LK,226
LR,1
LS,7
LT,131
LU,45
LV,81
LY,9
MA,131
MC,1
MD,59
ME,33
MG,23
MH,1
MK,57
MM,70
MN,50
MO,11
MP,1
MQ,1
MR,2
MT,50
MU,22
MV,6
MW,3
MX,808
MY,331
MZ,10
NA,3
NC,4
NG,352
NI,23
NL,1228
NO,334
NP,160
NZ,289
OM,6
PA,42
PE,263
PF,2
PG,3
PH,507
PK,781
PL,1327
PR,27
PS,26
PT,478
PY,18
QA,36
RE,10
RO,470
RS,224
RU,901
RW,25
SA,95
SC,2
SD,4
SE,757
SG,966
SI,64
SK,141
SL,1
SM,1
SN,9
SO,3
SR,1
SV,23
SX,1
SY,17
SZ,1
TG,5
TH,520
TJ,3
TN,108
TR,568
TT,10
TW,378
TZ,19
UA,885
UG,26
US,12262
UY,69
UZ,80
VE,94
VG,12
VN,1105
XK,28
YE,13
ZA,497
ZM,6
ZW,30
